"Cognition","Honesty","Communication","Chats","Rep","Coop_Ewan","Payout"
"Mini","Free","Between",0,1,0.875241779497099,2.73694390715667
"Mini","Free","Between",0,2,0.893203883495146,2.80582524271845
"Mini","Free","Between",0,3,0.899201596806387,2.812375249501
"Mini","Free","Between",0,4,0.903508771929825,2.85087719298246
"Mini","Free","Between",0,5,0.899232245681382,2.79174664107486
"Mini","Free","Between",0,6,0.904536862003781,2.76465028355388
"Mini","Free","Between",0,7,0.888454011741683,2.78082191780822
"Mini","Free","Between",0,8,0.901590457256461,2.81709741550696
"Mini","Free","Between",0,9,0.92167577413479,2.86794171220401
"Mini","Free","Between",0,10,0.920682730923695,2.83433734939759
"Mini","Free","Between",0,11,0.913757700205339,2.8388090349076
"Mini","Free","Between",0,12,0.924843423799582,2.9133611691023
"Mini","Free","Between",0,13,0.920045045,2.875
"Mini","Free","Between",0,14,0.917721518987342,2.81751054852321
"Mini","Free","Between",0,15,0.922755741127349,2.88308977035491
"Mini","Free","Between",0,16,0.890748031,2.81594488188976
"Mini","Free","Between",0,17,0.908910891089109,2.89207920792079
"Mini","Free","Between",0,18,0.893457943925234,2.8214953271028
"Mini","Free","Between",0,19,0.900193798449612,2.84980620155039
"Mini","Free","Between",0,20,0.899585921325052,2.80227743271222
"Mini","Free","Between",0,21,0.898128898128898,2.76923076923077
"Mini","Free","Between",0,22,0.907775768535262,2.87974683544304
"Mini","Free","Between",0,23,0.879576107899807,2.77649325626204
"Mini","Free","Between",0,24,0.892,2.767
"Mini","Free","Between",0,25,0.906679764,2.81237721
"Mini","Free","Between",0,26,0.896049896,2.85758835758836
"Mini","Free","Between",0,27,0.914736842105263,2.87684210526316
"Mini","Free","Between",0,28,0.899436090225564,2.83082706766917
"Mini","Free","Between",0,29,0.890816326530612,2.72244897959184
"Mini","Free","Between",0,30,0.905241935,2.84274193548387
"Mini","Free","Between",1,1,0.948924731182796,3.00985663082437
"Mini","Free","Between",1,2,0.940524193548387,2.94959677419355
"Mini","Free","Between",1,3,0.94238683127572,2.97942386831276
"Mini","Free","Between",1,4,0.947154471544715,2.96646341463415
"Mini","Free","Between",1,5,0.94188376753507,2.97394789579158
"Mini","Free","Between",1,6,0.94874477,2.99372384937239
"Mini","Free","Between",1,7,0.946869070208729,2.95825426944972
"Mini","Free","Between",1,8,0.930379747,2.93037974683544
"Mini","Free","Between",1,9,0.940643863179074,2.965794769
"Mini","Free","Between",1,10,0.948140900195695,3.00489236790607
"Mini","Free","Between",1,11,0.954446854663774,3.00433839479393
"Mini","Free","Between",1,12,0.960580912863071,3.02489626556017
