"Cognition","Honesty","Communication","Rep","Coop_Ewan","Payout"
"Nano","Free","gossip",4,0.90650406504065,2.85467479674797
"Nano","Free","gossip",5,0.915686274509804,2.86176470588235
"Nano","Free","gossip",6,0.911937377690802,2.90704500978474
"Nano","Free","gossip",7,0.910420475319927,2.80621572212066
"Nano","Free","gossip",8,0.903732809430255,2.8565815324165
"Nano","Free","gossip",9,0.91362763915547,2.88291746641075
"Nano","Free","gossip",10,0.918410041841004,2.85669456066946
"Nano","Free","between",1,0.945,2.952
"Nano","Free","between",2,0.931,2.893
"Nano","Free","between",3,0.945179584,2.96691871455577
"Nano","Free","between",4,0.915674603174603,2.89186507936508
"Nano","Free","between",5,0.934362934362934,2.89478764478764
"Nano","Free","between",6,0.924145299145299,2.83867521367521
"Nano","Free","between",7,0.925619834710744,2.8801652892562
"Nano","Free","between",8,0.942622950819672,2.92622950819672
"Nano","Free","between",9,0.947316103379722,2.93141153081511
"Nano","Free","between",10,0.94661191,2.90349075975359
"GPT","Free","both",1,0.982625482625483,2.92084942084942
"GPT","Free","both",2,0.975471698113208,2.99811320754717
"GPT","Free","both",3,0.9824016563147,2.94513457556936
"GPT","Free","both",4,0.974304069,2.96895074946467
"GPT","Free","both",5,0.982178217821782,3.05841584158416
"GPT","Free","both",6,0.965263157894737,2.96526315789474
"GPT","Free","both",7,0.980612244897959,3.03673469387755
"GPT","Free","both",8,0.967647058823529,2.97450980392157
"GPT","Free","both",9,0.979879275653924,2.965794769
"GPT","Free","both",10,0.977223427331887,2.9880694143167
"GPT","Free","none",1,0.929530201342282,2.88702460850112
"GPT","Free","none",2,0.938775510204082,2.92142857142857
"GPT","Free","none",3,0.934782608695652,2.8592132505176
"GPT","Free","none",4,0.917171717171717,2.81616161616162
"GPT","Free","none",5,0.972328244274809,2.95515267175573
"GPT","Free","none",6,0.931992337164751,2.8955938697318
"GPT","Free","none",7,0.877712031558185,2.70216962524655
"GPT","Free","none",8,0.925047438330171,2.83586337760911
"GPT","Free","none",9,0.903092783505155,2.75876288659794
"GPT","Free","none",10,0.946969697,2.88541666666667
"GPT","Free","gossip",1,0.956435643564356,2.87425742574257
"GPT","Free","gossip",2,0.921875,2.795898438
"GPT","Free","gossip",3,0.956653225806452,2.95665322580645
"GPT","Free","gossip",4,0.957943925233645,2.90560747663551
"GPT","Free","gossip",5,0.947775628626692,2.90909090909091
"GPT","Free","gossip",6,0.931481481481482,2.79907407407407
"GPT","Free","gossip",7,0.903030303030303,2.78484848484848
"GPT","Free","gossip",8,0.949685535,2.87526205450734
"GPT","Free","gossip",9,0.945866141732283,2.85629921259843
"GPT","Free","gossip",10,0.941064639,2.90589353612167
"GPT","Free","between",1,0.965250965250965,3.02027027
"GPT","Free","between",2,0.958483754512635,2.93501805054152
"GPT","Free","between",3,0.965931863727455,2.97194388777555
"GPT","Free","between",4,0.961393596986817,2.99717514124294
"GPT","Free","between",5,0.965827338129496,2.92985611510791
"GPT","Free","between",6,0.957915831663327,2.90080160320641
"GPT","Free","between",7,0.958154506437768,2.99034334763948
"GPT","Free","between",8,0.960500963391137,2.96628131021195
"GPT","Free","between",9,0.97,2.957
"GPT","Free","between",10,0.976459510357815,2.95291902071563
"Mini","Free","both",11,0.942973523421589,2.9959266802444
"Mini","Free","both",12,0.9541015625,3.00390625
"Mini","Free","both",13,0.933009708737864,2.98252427184466
"Mini","Free","both",14,0.945866141732283,2.98129921259843
"Mini","Free","both",15,0.942460317460317,2.97123015873016
"Mini","Free","both",16,0.96234309623431,3.03138075313807
"Mini","Free","both",17,0.95427435387674,3.03180914512922
"Mini","Free","both",18,0.949203187250996,3.03585657370518
"Mini","Free","both",19,0.960685483870968,3
"Mini","Free","both",20,0.954446854663774,2.97830802603037
"Mini","Free","none",11,0.914760914760915,2.83887733887734
"Mini","Free","none",12,0.898785425101215,2.83502024291498
"Mini","Free","none",13,0.922105263157895,2.83789473684211
"Mini","Free","none",14,0.88339552238806,2.77518656716418
"Mini","Free","none",15,0.902930402930403,2.7481684981685
"Mini","Free","none",16,0.90356394129979,2.82809224318658
"Mini","Free","none",17,0.886128364389234,2.7287784679089
"Mini","Free","none",18,0.911706349206349,2.86607142857143
"Mini","Free","none",19,0.893194706994329,2.84499054820416
"Mini","Free","none",20,0.921359223300971,2.87669902912621
"Mini","Free","gossip",11,0.895793499043977,2.80879541108987
"Mini","Free","gossip",12,0.877777777777778,2.77272727272727
"Mini","Free","gossip",13,0.905154639175258,2.85773195876289
"Mini","Free","gossip",14,0.886756238003839,2.71880998080614
"Mini","Free","gossip",15,0.928861788617886,2.8770325203252
"Mini","Free","gossip",16,0.897003745318352,2.75749063670412
"Mini","Free","gossip",17,0.890526315789474,2.76210526315789
"Mini","Free","gossip",18,0.915896487985213,2.8373382624769
"Mini","Free","gossip",19,0.906603773584906,2.80660377358491
"Mini","Free","gossip",20,0.912698412698413,2.82539682539683
"Mini","Free","between",11,0.944933920704846,2.95704845814978
"Mini","Free","between",12,0.917197452229299,2.90658174097665
"Mini","Free","between",13,0.938818565400844,2.97679324894515
"Mini","Free","between",14,0.915151515151515,2.92020202020202
"Mini","Free","between",15,0.92843137254902,2.99019607843137
"Mini","Free","between",16,0.946828358208955,3.01212686567164
"Mini","Free","between",17,0.941787941787942,2.94594594594595
"Mini","Free","between",18,0.951107011070111,3.00738007380074
"Mini","Free","between",19,0.940803382663848,2.94503171247357
"Mini","Free","between",20,0.94,2.98315789473684
"Mini","Forced","none",11,0.922845691382766,2.84869739478958
"Mini","Forced","none",12,0.879078694817658,2.72456813819578
"Mini","Forced","none",13,0.898305084745763,2.84651600753296
"Mini","Forced","none",14,0.861224489795918,2.70918367346939
"Mini","Forced","none",15,0.901162790697674,2.79360465116279
"Mini","Forced","none",16,0.900614754098361,2.86885245901639
"Mini","Forced","none",17,0.909594095940959,2.80627306273063
"Mini","Forced","none",18,0.895593869731801,2.81992337164751
"Mini","Forced","none",19,0.905189620758483,2.77744510978044
"Mini","Forced","none",20,0.891944990176817,2.79567779960707
"Mini","Forced","gossip",11,0.911111111111111,2.85353535353535
"Mini","Forced","gossip",12,0.908088235294118,2.85110294117647
"Mini","Forced","gossip",13,0.910989010989011,2.7989010989011
