"Cognition","Honesty","Communication","Proportion","Rep","Coop_Ewan","Payout"
"Mini","Free","Between",20,2,0.916981132075472,2.88490566037736
"Mini","Free","Between",20,3,0.90127970749543,2.78062157221207
"Mini","Free","Between",20,4,0.91701244813278,2.85373443983402
"Mini","Free","Between",20,5,0.914829659318637,2.89078156312625
"Mini","Free","Between",20,6,0.913461538461538,2.86538461538462
"Mini","Free","Between",20,7,0.912451361867704,2.89396887159533
"Mini","Free","Between",20,8,0.916492693110647,2.88517745302714
"Mini","Free","Between",20,9,0.879707112970711,2.73535564853557
"Mini","Free","Between",20,10,0.881422924901186,2.76086956521739
"Mini","Free","Between",20,11,0.929158110882957,2.9394250513347
"Mini","Free","Between",20,12,0.888157894736842,2.7734962406015
"Mini","Free","Between",20,13,0.908102766798419,2.79446640316206
"Mini","Free","Between",20,14,0.899390243902439,2.85162601626016
"Mini","Free","Between",20,15,0.92184368737475,2.87575150300601
"Mini","Free","Between",20,16,0.894736842105263,2.78849902534113
"Mini","Free","Between",20,17,0.939484126984127,2.88392857142857
"Mini","Free","Between",20,18,0.923694779116466,2.89759036144578
"Mini","Free","Between",20,19,0.867708333333333,2.72083333333333
"Mini","Free","Between",20,20,0.889312977099237,2.77099236641221
"Mini","Free","Between",20,21,0.89648033126294,2.76915113871636
"Mini","Free","Between",20,22,0.904580152671756,2.78530534351145
"Mini","Free","Between",20,23,0.879275653923541,2.78772635814889
"Mini","Free","Between",20,24,0.90041928721174,2.90041928721174
"Mini","Free","Between",20,25,0.911889596602972,2.83651804670913
"Mini","Free","Between",20,26,0.916190476190476,2.88666666666667
"Mini","Free","Between",20,27,0.903925619834711,2.83161157024793
"Mini","Free","Between",20,28,0.908421052631579,2.87894736842105
"Mini","Free","Between",20,29,0.911885245901639,2.9047131147541
"Mini","Free","Between",20,30,0.925053533190578,2.92077087794433
"Mini","Free","Between",30,1,0.895959595959596,2.7969696969697
"Mini","Free","Between",30,2,0.911036036036036,2.79391891891892
"Mini","Free","Between",30,3,0.908482142857143,2.83035714285714
"Mini","Free","Between",30,4,0.937367303609342,2.91613588110403
"Mini","Free","Between",30,5,0.920997920997921,2.86486486486486
"Mini","Free","Between",30,6,0.911885245901639,2.82684426229508
"Mini","Free","Between",30,7,0.892156862745098,2.78921568627451
"Mini","Free","Between",30,8,0.924489795918367,2.89897959183673
"Mini","Free","Between",30,9,0.887947269303202,2.77118644067797
"Mini","Free","Between",30,10,0.911275415896488,2.84380776340111
"Mini","Free","Between",30,11,0.904854368932039,2.84854368932039
"Mini","Free","Between",30,12,0.905660377358491,2.83228511530398
"Mini","Free","Between",30,13,0.890269151138716,2.76811594202899
"Mini","Free","Between",30,14,0.90587044534413,2.85323886639676
"Mini","Free","Between",30,15,0.903508771929825,2.83430799220273
"Mini","Free","Between",30,16,0.901834862385321,2.76788990825688
"Mini","Free","Between",30,17,0.892177589852008,2.74630021141649
"Mini","Free","Between",30,18,0.91734693877551,2.86734693877551
"Mini","Free","Between",30,19,0.926739926739927,2.92124542124542
"Mini","Free","Between",30,20,0.901174168297456,2.8013698630137
"Mini","Free","Between",30,21,0.926078028747433,2.87166324435318
"Mini","Free","Between",30,22,0.906311637080868,2.78599605522682
"Mini","Free","Between",30,23,0.900785854616896,2.83889980353635
"Mini","Free","Between",30,24,0.906724511930586,2.89479392624729
"Mini","Free","Between",30,25,0.898481973434535,2.7561669829222
"Mini","Free","Between",30,26,0.896946564885496,2.77385496183206
"Mini","Free","Between",30,27,0.893280632411067,2.76482213438735
"Mini","Free","Between",30,28,0.902195608782435,2.78443113772455
"Mini","Free","Between",30,29,0.900770712909441,2.81984585741811
"Mini","Free","Between",30,30,0.887550200803213,2.73795180722892
"Mini","Free","Between",40,1,0.917148362235068,2.89499036608863
"Mini","Free","Between",40,2,0.887580299785867,2.74625267665953
"Mini","Free","Between",40,3,0.90843621399177,2.84053497942387
"Mini","Free","Between",40,4,0.899797570850202,2.82186234817814
"Mini","Free","Between",40,5,0.896207584830339,2.82934131736527
"Mini","Free","Between",40,6,0.908995815899582,2.8326359832636
"Mini","Free","Between",40,7,0.915289256198347,2.87086776859504
"Mini","Free","Between",40,8,0.90251572327044,2.80712788259958
"Mini","Free","Between",40,9,0.900911161731207,2.81548974943052
"Mini","Free","Between",40,10,0.908123791102514,2.84235976789168
"Mini","Free","Between",40,11,0.884972170686456,2.72263450834879
"Mini","Free","Between",40,12,0.909362549800797,2.8496015936255
"Mini","Free","Between",40,13,0.884615384615385,2.78942307692308
