"Cognition","Honesty","Communication","Rounds","Rep","Coop_Ewan","Payout"
"Mini","Free","None",8,18,0.89125,2.80375
"Mini","Free","None",8,19,0.905,2.80375
"Mini","Free","None",8,20,0.915,2.78375
"Mini","Free","None",8,21,0.9,2.81625
"Mini","Free","None",8,22,0.8575,2.695
"Mini","Free","None",8,23,0.92,2.8
"Mini","Free","None",8,24,0.9,2.80875
"Mini","Free","None",8,25,0.91375,2.8225
"Mini","Free","None",8,26,0.89125,2.77125
"Mini","Free","None",8,27,0.89125,2.7775
"Mini","Free","None",8,28,0.885,2.7775
"Mini","Free","None",8,29,0.91875,2.81125
"Mini","Free","None",8,30,0.8875,2.78625
"Mini","Free","None",9,1,0.908888888888889,2.82
"Mini","Free","None",9,2,0.895555555555556,2.86
"Mini","Free","None",9,3,0.905555555555556,2.80444444444444
"Mini","Free","None",9,4,0.913333333333333,2.89777777777778
"Mini","Free","None",9,5,0.875555555555556,2.79888888888889
"Mini","Free","None",9,6,0.894444444444444,2.79555555555556
"Mini","Free","None",9,7,0.914444444444444,2.83222222222222
"Mini","Free","None",9,8,0.897777777777778,2.84111111111111
"Mini","Free","None",9,9,0.928888888888889,2.92666666666667
"Mini","Free","None",9,10,0.928888888888889,2.87888888888889
"Mini","Free","None",9,11,0.905555555555556,2.86666666666667
"Mini","Free","None",9,12,0.922222222222222,2.85777777777778
"Mini","Free","None",9,13,0.907777777777778,2.82222222222222
"Mini","Free","None",9,14,0.911111111111111,2.80444444444444
"Mini","Free","None",9,15,0.908888888888889,2.89333333333333
"Mini","Free","None",9,16,0.927777777777778,2.90333333333333
"Mini","Free","None",9,17,0.911111111111111,2.85888888888889
"Mini","Free","None",9,18,0.917777777777778,2.89888888888889
"Mini","Free","None",9,19,0.912222222222222,2.91111111111111
"Mini","Free","None",9,20,0.883333333333333,2.76777777777778
"Mini","Free","None",9,21,0.894444444444444,2.81555555555556
"Mini","Free","None",9,22,0.877777777777778,2.75
"Mini","Free","None",9,23,0.865555555555556,2.71888888888889
"Mini","Free","None",9,24,0.91,2.81666666666667
"Mini","Free","None",9,25,0.904444444444444,2.74222222222222
"Mini","Free","None",9,26,0.893333333333333,2.82888888888889
"Mini","Free","None",9,27,0.891111111111111,2.77111111111111
"Mini","Free","None",9,28,0.881111111111111,2.69222222222222
"Mini","Free","None",9,29,0.896666666666667,2.84
"Mini","Free","None",9,30,0.901111111111111,2.83777777777778
"Mini","Free","None",10,1,0.926,2.916
"Mini","Free","None",10,2,0.916,2.829
"Mini","Free","None",10,3,0.894,2.799
"Mini","Free","None",10,4,0.917,2.84
"Mini","Free","None",10,5,0.905,2.771
"Mini","Free","None",10,6,0.913,2.779
"Mini","Free","None",10,7,0.888,2.734
"Mini","Free","None",10,8,0.896,2.765
"Mini","Free","None",10,9,0.893,2.769
"Mini","Free","None",10,10,0.889,2.761
"Mini","Free","None",10,11,0.895,2.819
"Mini","Free","None",10,12,0.901,2.84
"Mini","Free","None",10,13,0.897,2.817
"Mini","Free","None",10,14,0.902,2.855
"Mini","Free","None",10,15,0.912,2.792
"Mini","Free","None",10,16,0.913,2.818
"Mini","Free","None",10,17,0.884,2.754
"Mini","Free","None",10,18,0.893,2.785
"Mini","Free","None",10,19,0.915,2.844
"Mini","Free","None",10,20,0.898,2.788
"Mini","Free","None",10,21,0.901,2.818
"Mini","Free","None",10,22,0.875,2.734
"Mini","Free","None",10,23,0.885,2.75
"Mini","Free","None",10,24,0.915,2.889
"Mini","Free","None",10,25,0.899,2.839
"Mini","Free","None",10,26,0.866,2.736
"Mini","Free","None",10,27,0.898,2.8
"Mini","Free","None",10,28,0.912,2.862
"Mini","Free","None",10,29,0.912,2.902
"Mini","Free","None",10,30,0.902,2.871
