"Cognition","Honesty","Communication","Rounds","Rep","Coop_Ewan","Payout"
"Mini","Free","Gossip",4,15,0.8725,2.7325
"Mini","Free","Gossip",4,16,0.895,2.7375
"Mini","Free","Gossip",4,17,0.9,2.775
"Mini","Free","Gossip",4,18,0.8975,2.745
"Mini","Free","Gossip",4,19,0.905,2.8325
"Mini","Free","Gossip",4,20,0.94,3.0325
"Mini","Free","Gossip",4,21,0.91,2.8325
"Mini","Free","Gossip",4,22,0.895,2.6775
"Mini","Free","Gossip",4,23,0.8825,2.785
"Mini","Free","Gossip",4,24,0.905,2.8
"Mini","Free","Gossip",4,25,0.935,2.9025
"Mini","Free","Gossip",4,26,0.87,2.7375
"Mini","Free","Gossip",4,27,0.8775,2.7175
"Mini","Free","Gossip",4,28,0.89,2.7
"Mini","Free","Gossip",4,29,0.9375,2.95
"Mini","Free","Gossip",4,30,0.8875,2.76
"Mini","Free","Gossip",5,1,0.878,2.77
"Mini","Free","Gossip",5,2,0.898,2.796
"Mini","Free","Gossip",5,3,0.892,2.844
"Mini","Free","Gossip",5,4,0.92,2.864
"Mini","Free","Gossip",5,5,0.914,2.966
"Mini","Free","Gossip",5,6,0.926,2.902
"Mini","Free","Gossip",5,7,0.898,2.798
"Mini","Free","Gossip",5,8,0.918,2.908
"Mini","Free","Gossip",5,9,0.946,3.002
"Mini","Free","Gossip",5,10,0.898,2.732
"Mini","Free","Gossip",5,11,0.904,2.844
"Mini","Free","Gossip",5,12,0.902,2.848
"Mini","Free","Gossip",5,13,0.922,2.972
"Mini","Free","Gossip",5,14,0.858,2.718
"Mini","Free","Gossip",5,15,0.902,2.784
"Mini","Free","Gossip",5,16,0.866,2.758
"Mini","Free","Gossip",5,17,0.906,2.814
"Mini","Free","Gossip",5,18,0.874,2.742
"Mini","Free","Gossip",5,19,0.898,2.788
"Mini","Free","Gossip",5,20,0.942,2.91
"Mini","Free","Gossip",5,21,0.922,2.876
"Mini","Free","Gossip",5,22,0.892,2.79
"Mini","Free","Gossip",5,23,0.888,2.784
"Mini","Free","Gossip",5,24,0.898,2.842
"Mini","Free","Gossip",5,25,0.878,2.686
"Mini","Free","Gossip",5,26,0.896,2.886
"Mini","Free","Gossip",5,27,0.928,2.976
"Mini","Free","Gossip",5,28,0.882,2.71
"Mini","Free","Gossip",5,29,0.926,2.88
"Mini","Free","Gossip",5,30,0.874,2.712
"Mini","Free","Gossip",6,1,0.903333333333333,2.84166666666667
"Mini","Free","Gossip",6,2,0.895,2.79666666666667
"Mini","Free","Gossip",6,3,0.901666666666667,2.82166666666667
"Mini","Free","Gossip",6,4,0.92,2.85
"Mini","Free","Gossip",6,5,0.903333333333333,2.745
"Mini","Free","Gossip",6,6,0.901666666666667,2.82166666666667
"Mini","Free","Gossip",6,7,0.926666666666667,2.895
"Mini","Free","Gossip",6,8,0.915,2.82833333333333
"Mini","Free","Gossip",6,9,0.876666666666667,2.63333333333333
"Mini","Free","Gossip",6,10,0.901666666666667,2.82166666666667
"Mini","Free","Gossip",6,11,0.915,2.87
"Mini","Free","Gossip",6,12,0.898333333333333,2.86
"Mini","Free","Gossip",6,13,0.906666666666667,2.90333333333333
"Mini","Free","Gossip",6,14,0.901666666666667,2.79333333333333
"Mini","Free","Gossip",6,15,0.911666666666667,2.76
"Mini","Free","Gossip",6,16,0.92,2.87833333333333
"Mini","Free","Gossip",6,17,0.883333333333333,2.78833333333333
"Mini","Free","Gossip",6,18,0.9,2.77333333333333
"Mini","Free","Gossip",6,19,0.908333333333333,2.85166666666667
"Mini","Free","Gossip",6,20,0.895,2.76666666666667
"Mini","Free","Gossip",6,21,0.918333333333333,2.86
"Mini","Free","Gossip",6,22,0.943333333333333,2.94333333333333
"Mini","Free","Gossip",6,23,0.911666666666667,2.86166666666667
"Mini","Free","Gossip",6,24,0.906666666666667,2.85
"Mini","Free","Gossip",6,25,0.876666666666667,2.78666666666667
"Mini","Free","Gossip",6,26,0.916666666666667,2.91166666666667
"Mini","Free","Gossip",6,27,0.905,2.83166666666667
"Mini","Free","Gossip",6,28,0.916666666666667,2.89333333333333
"Mini","Free","Gossip",6,29,0.911666666666667,2.78666666666667
"Mini","Free","Gossip",6,30,0.9,2.76333333333333
"Mini","Free","Gossip",7,1,0.914285714285714,2.85571428571429
"Mini","Free","Gossip",7,2,0.922857142857143,2.88857142857143
"Mini","Free","Gossip",7,3,0.905714285714286,2.82
"Mini","Free","Gossip",7,4,0.932857142857143,2.96
"Mini","Free","Gossip",7,5,0.92,2.83571428571429
"Mini","Free","Gossip",7,6,0.938571428571429,2.97571428571429
"Mini","Free","Gossip",7,7,0.92,2.86142857142857
"Mini","Free","Gossip",7,8,0.925714285714286,2.90857142857143
"Mini","Free","Gossip",7,9,0.897142857142857,2.81142857142857
"Mini","Free","Gossip",7,10,0.912857142857143,2.83714285714286
"Mini","Free","Gossip",7,11,0.921428571428571,2.84714285714286
"Mini","Free","Gossip",7,12,0.9,2.76714285714286
"Mini","Free","Gossip",7,13,0.891428571428571,2.79857142857143
"Mini","Free","Gossip",7,14,0.887142857142857,2.82285714285714
"Mini","Free","Gossip",7,15,0.89,2.73571428571429
"Mini","Free","Gossip",7,16,0.911428571428572,2.9
"Mini","Free","Gossip",7,17,0.9,2.81571428571429
"Mini","Free","Gossip",7,18,0.887142857142857,2.79
"Mini","Free","Gossip",7,19,0.887142857142857,2.71571428571429
"Mini","Free","Gossip",7,20,0.9,2.79142857142857
"Mini","Free","Gossip",7,21,0.911428571428572,2.85714285714286
"Mini","Free","Gossip",7,22,0.914285714285714,2.85714285714286
"Mini","Free","Gossip",7,23,0.897142857142857,2.78285714285714
"Mini","Free","Gossip",7,24,0.917142857142857,2.84428571428571
"Mini","Free","Gossip",7,25,0.915714285714286,2.92285714285714
"Mini","Free","Gossip",7,26,0.95,2.99285714285714
"Mini","Free","Gossip",7,27,0.868571428571429,2.63714285714286
"Mini","Free","Gossip",7,28,0.921428571428571,2.88714285714286
"Mini","Free","Gossip",7,29,0.887142857142857,2.77428571428571
"Mini","Free","Gossip",7,30,0.905714285714286,2.88428571428571
