"Cognition","Honesty","Communication","Population","Rep","Coop_Ewan","Payout"
"Mini","Free","gossip",3,42,0.877490039840637,2.74701195219123
"Mini","Free","gossip",3,43,0.913793103448276,2.82150101419878
"Mini","Free","gossip",3,44,0.91014799154334,2.8107822410148
"Mini","Free","gossip",3,45,0.908993576017131,2.84261241970021
"Mini","Free","gossip",3,46,0.900375939849624,2.84116541353383
"Mini","Free","gossip",3,47,0.914473684210526,2.85808270676692
"Mini","Free","gossip",3,48,0.922008547008547,2.89316239316239
"Mini","Free","gossip",3,49,0.883141762452107,2.76628352490421
"Mini","Free","gossip",3,50,0.905857740585774,2.80543933054393
"Mini","Free","none",3,1,0.906614785992218,2.86673151750973
"Mini","Free","none",3,2,0.90891472868217,2.80426356589147
"Mini","Free","none",3,3,0.903292181069959,2.8261316872428
"Mini","Free","none",3,4,0.909362549800797,2.86354581673307
"Mini","Free","none",3,5,0.887450199203187,2.79780876494024
"Mini","Free","none",3,6,0.915921288014311,2.8953488372093
"Mini","Free","none",3,7,0.893122676579926,2.73513011152416
"Mini","Free","none",3,8,0.897410358565737,2.73207171314741
"Mini","Free","none",3,9,0.898221343873518,2.78162055335968
"Mini","Free","none",3,10,0.906374501992032,2.79183266932271
"Mini","Free","none",3,11,0.892988929889299,2.76383763837638
"Mini","Free","none",3,12,0.925242718446602,2.88349514563107
"Mini","Free","none",3,13,0.901574803149606,2.82283464566929
"Mini","Free","none",3,14,0.893058161350844,2.78142589118199
"Mini","Free","none",3,15,0.926680244399185,2.91038696537678
"Mini","Free","none",3,16,0.902131782945736,2.84980620155039
"Mini","Free","none",3,17,0.925742574257426,2.88217821782178
"Mini","Free","none",3,18,0.896078431372549,2.76764705882353
"Mini","Free","none",3,19,0.913978494623656,2.9
"Mini","Free","none",3,20,0.893194706994329,2.75141776937618
"Mini","Free","none",3,21,0.910546139359699,2.8060263653484
"Mini","Free","none",3,22,0.894891944990177,2.77799607072692
"Mini","Free","none",3,23,0.897463002114165,2.79492600422833
"Mini","Free","none",3,24,0.914658634538153,2.89156626506024
"Mini","Free","none",3,25,0.898686679174484,2.81707317073171
"Mini","Free","none",3,26,0.917035398230088,2.82632743362832
"Mini","Free","none",3,27,0.899784482758621,2.8125
"Mini","Free","none",3,28,0.9,2.77340425531915
"Mini","Free","none",3,29,0.93491124260355,2.90729783037475
"Mini","Free","none",3,30,0.904807692307692,2.84326923076923
"Mini","Free","none",3,31,0.921971252566735,2.8788501026694
"Mini","Free","none",3,32,0.918367346938776,2.8469387755102
"Mini","Free","none",3,33,0.887254901960784,2.77843137254902
"Mini","Free","none",3,34,0.924242424242424,2.91341991341991
"Mini","Free","none",3,35,0.911205073995772,2.85835095137421
"Mini","Free","none",3,36,0.901209677419355,2.82358870967742
"Mini","Free","none",3,37,0.896739130434783,2.75652173913043
"Mini","Free","none",3,38,0.933867735470942,2.91282565130261
"Mini","Free","none",3,39,0.911067193675889,2.80533596837945
"Mini","Free","none",3,40,0.894308943089431,2.78353658536585
"Mini","Free","none",3,41,0.891682785299807,2.80560928433269
"Mini","Free","none",3,42,0.920159680638723,2.88023952095808
"Mini","Free","none",3,43,0.892292490118577,2.79347826086957
"Mini","Free","none",3,44,0.906496062992126,2.85433070866142
"Mini","Free","none",3,45,0.911224489795918,2.82959183673469
"Mini","Free","none",3,46,0.922090729783038,2.9043392504931
"Mini","Free","none",3,47,0.89607390300231,2.77598152424942
"Mini","Free","none",3,48,0.889662027833002,2.71669980119284
"Mini","Free","none",3,49,0.902697495183044,2.77938342967245
"Mini","Free","none",3,50,0.9228515625,2.876953125
"Mini","Free","gossip",4,1,0.945918367346939,2.94285714285714
"Mini","Free","gossip",4,2,0.920212765957447,2.87446808510638
"Mini","Free","gossip",4,3,0.903225806451613,2.76774193548387
"Mini","Free","gossip",4,4,0.908183632734531,2.84131736526946
"Mini","Free","gossip",4,5,0.897272727272727,2.8
"Mini","Free","gossip",4,6,0.907945736434108,2.82945736434109
"Mini","Free","gossip",4,7,0.937629937629938,2.90748440748441
"Mini","Free","gossip",4,8,0.908183632734531,2.81936127744511
"Mini","Free","gossip",4,9,0.884533898305085,2.72457627118644
"Mini","Free","gossip",4,10,0.886773547094188,2.72645290581162
"Mini","Free","gossip",4,11,0.892354124748491,2.78169014084507
"Mini","Free","gossip",4,12,0.929606625258799,2.80952380952381
"Mini","Free","gossip",4,13,0.9189453125,2.873046875
"Mini","Free","gossip",4,14,0.914012738853503,2.85987261146497
"Mini","Free","gossip",4,15,0.910569105691057,2.83434959349594
"Mini","Free","gossip",4,16,0.926977687626775,2.89959432048682
"Mini","Free","gossip",4,17,0.8935546875,2.775390625
"Mini","Free","gossip",4,18,0.909340659340659,2.82783882783883
"Mini","Free","gossip",4,19,0.912921348314607,2.8623595505618
"Mini","Free","gossip",4,20,0.893939393939394,2.84444444444444
"Mini","Free","gossip",4,21,0.899590163934426,2.80840163934426
"Mini","Free","gossip",4,22,0.898523985239852,2.76937269372694
"Mini","Free","gossip",4,23,0.920305676855895,2.84279475982533
"Mini","Free","gossip",4,24,0.933760683760684,2.90064102564103
"Mini","Free","gossip",4,25,0.91980198019802,2.80792079207921
"Mini","Free","gossip",4,26,0.895922746781116,2.75643776824034
"Mini","Free","gossip",4,27,0.915506958250497,2.8727634194831
"Mini","Free","gossip",4,28,0.930799220272904,2.89961013645224
"Mini","Free","gossip",4,29,0.898958333333333,2.809375
"Mini","Free","gossip",4,30,0.929936305732484,2.90233545647558
"Mini","Free","gossip",4,31,0.894160583941606,2.75091240875912
"Mini","Free","gossip",4,32,0.895327102803738,2.77289719626168
"Mini","Free","gossip",4,33,0.939516129032258,2.92439516129032
"Mini","Free","gossip",4,34,0.935387673956262,2.90954274353877
"Mini","Free","gossip",4,35,0.91170431211499,2.82032854209446
"Mini","Free","gossip",4,36,0.922178988326848,2.88035019455253
"Mini","Free","gossip",4,37,0.878968253968254,2.77281746031746
"Mini","Free","gossip",4,38,0.873253493013972,2.73852295409182
"Mini","Free","gossip",4,39,0.915831663326653,2.82965931863727
"Mini","Free","gossip",4,40,0.920245398773006,2.88854805725971
"Mini","Free","gossip",4,41,0.922845691382766,2.85871743486974
"Mini","Free","gossip",4,42,0.888412017167382,2.79077253218884
"Mini","Free","gossip",4,43,0.908057851239669,2.87293388429752
"Mini","Free","gossip",4,44,0.912350597609562,2.86454183266932
"Mini","Free","gossip",4,45,0.9189453125,2.9033203125
"Mini","Free","gossip",4,46,0.905263157894737,2.80105263157895
"Mini","Free","gossip",4,47,0.92953667953668,2.8957528957529
"Mini","Free","gossip",4,48,0.918533604887984,2.93584521384929
"Mini","Free","gossip",4,49,0.925531914893617,2.86170212765957
"Mini","Free","gossip",4,50,0.907488986784141,2.81828193832599
"Mini","Free","none",4,1,0.892857142857143,2.75396825396825
"Mini","Free","none",4,2,0.908829174664108,2.82149712092131
"Mini","Free","none",4,3,0.911538461538462,2.85673076923077
"Mini","Free","none",4,4,0.888075313807531,2.75732217573222
"Mini","Free","none",4,5,0.859615384615385,2.75673076923077
"Mini","Free","none",4,6,0.904150197628458,2.80830039525692
"Mini","Free","none",4,7,0.916023166023166,2.81756756756757
"Mini","Free","none",4,8,0.906873614190687,2.81818181818182
"Mini","Free","none",4,9,0.893360160965795,2.85412474849095
"Mini","Free","none",4,10,0.888548057259714,2.78118609406953
"Mini","Free","none",4,11,0.916,2.849
"Mini","Free","none",4,12,0.890926640926641,2.8011583011583
"Mini","Free","none",4,13,0.914346895074946,2.796573875803
"Mini","Free","none",4,14,0.90018315018315,2.8003663003663
"Mini","Free","none",4,15,0.908823529411765,2.81862745098039
"Mini","Free","none",4,16,0.906626506024096,2.8714859437751
"Mini","Free","none",4,17,0.890962671905697,2.73182711198428
"Mini","Free","none",4,18,0.9282982791587,2.87762906309751
"Mini","Free","none",4,19,0.89918533604888,2.82790224032587
"Mini","Free","none",4,20,0.907504363001745,2.81588132635253
"Mini","Free","none",4,21,0.907297830374753,2.78698224852071
"Mini","Free","none",4,22,0.899009900990099,2.81485148514851
"Mini","Free","none",4,23,0.90356394129979,2.79979035639413
